ID,Dam,Sire,F0_env,F1_env
N1N1_N,N1,N1,N,N
N1N2_N,N1,N2,N,N
N2N1_N,N2,N1,N,N
N2N2_N,N2,N2,N,N
N3N3_N,N3,N3,N,N
N3N4_N,N3,N4,N,N
N4N3_N,N4,N3,N,N
N4N4_N,N4,N4,N,N
N5N5_N,N5,N5,N,N
N5N6_N,N5,N6,N,N
N6N5_N,N6,N5,N,N
N6N6_N,N6,N6,N,N
N7N7_N,N7,N7,N,N
N7N8_N,N7,N8,N,N
N8N7_N,N8,N7,N,N
N8N8_N,N8,N8,N,N
N9N9_N,N9,N9,N,N
N9N10_N,N9,N10,N,N
N10N9_N,N10,N9,N,N
N10N10_N,N10,N10,N,N
N1N1_U,N1,N1,N,U
N1N2_U,N1,N2,N,U
N2N1_U,N2,N1,N,U
N2N2_U,N2,N2,N,U
N3N3_U,N3,N3,N,U
N3N4_U,N3,N4,N,U
N4N3_U,N4,N3,N,U
N4N4_U,N4,N4,N,U
N5N5_U,N5,N5,N,U
N5N6_U,N5,N6,N,U
N6N5_U,N6,N5,N,U
N6N6_U,N6,N6,N,U
N7N7_U,N7,N7,N,U
N7N8_U,N7,N8,N,U
N8N7_U,N8,N7,N,U
N8N8_U,N8,N8,N,U
N9N9_U,N9,N9,N,U
N9N10_U,N9,N10,N,U
N10N9_U,N10,N9,N,U
N10N10_U,N10,N10,N,U
U1U1_N,U1,U1,U,N
U1U2_N,U1,U2,U,N
U2U1_N,U2,U1,U,N
U2U2_N,U2,U2,U,N
U3U3_N,U3,U3,U,N
U3U4_N,U3,U4,U,N
U4U3_N,U4,U3,U,N
U4U4_N,U4,U4,U,N
U5U5_N,U5,U5,U,N
U5U6_N,U5,U6,U,N
U6U5_N,U6,U5,U,N
U6U6_N,U6,U6,U,N
U7U7_N,U7,U7,U,N
U7U8_N,U7,U8,U,N
U8U7_N,U8,U7,U,N
U8U8_N,U8,U8,U,N
U9U9_N,U9,U9,U,N
U9U10_N,U9,U10,U,N
U10U9_N,U10,U9,U,N
U10U10_N,U10,U10,U,N
U1U1_U,U1,U1,U,U
U1U2_U,U1,U2,U,U
U2U1_U,U2,U1,U,U
U2U2_U,U2,U2,U,U
U3U3_U,U3,U3,U,U
U3U4_U,U3,U4,U,U
U4U3_U,U4,U3,U,U
U4U4_U,U4,U4,U,U
U5U5_U,U5,U5,U,U
U5U6_U,U5,U6,U,U
U6U5_U,U6,U5,U,U
U6U6_U,U6,U6,U,U
U7U7_U,U7,U7,U,U
U7U8_U,U7,U8,U,U
U8U7_U,U8,U7,U,U
U8U8_U,U8,U8,U,U
U9U9_U,U9,U9,U,U
U9U10_U,U9,U10,U,U
U10U9_U,U10,U9,U,U
U10U10_U,U10,U10,U,U